"מחלב, סמי",במות פתוחות,
"מטו, ששי",קביעות במועדונים,קומדי בר
"מיינדר, ערן",במות פתוחות,
"מיכאלי, בנצי",במות פתוחות,
"מיכאלי, רבקה",כוכבות,
"מיכלוביץ', טל",קביעות במועדונים,קאמל קומדי קלאב
"מילמן, דדו",פתיחת קופות,
"מילר, אדיר",כוכבות,
"מילשטיין, נמרוד",במות פתוחות,
"מימון, קובי",כוכבות,
"מימון, תאיר",במות פתוחות,
"מימרן, אוהד",פתיחת קופות,קומדי בר
"מיציגורסקי, שרה",במות פתוחות,ערב הסטנדאפ של הלייף
"מירב, אבנר",במות פתוחות,"הסטנדאפ של הגיקים, דנסינג קאמל"
"מלכה, מני",פתיחת קופות,קאמל קומדי קלאב
"מלמד, אורי",פתיחת קופות,
"מלצר, יעל",במות פתוחות,
"ממן, מאור",במות פתוחות,
"מנדל, נויה",פתיחת קופות,
"מנדס, עומר",במות פתוחות,
"מנור, מיכל",במות פתוחות,
"מנור, נועה",פתיחת קופות,"נשי ותהני, קאמל קומדי קלאב"
"מנקס, טל",פתיחת קופות,
"מרטון, אנאבל",פתיחת קופות,
"מרציאנו, דולב",במות פתוחות,
"משולם, ירדן",במות פתוחות,
"משל פליישמן, רוני",במות פתוחות,
"נאומנקו, מיכאל",קביעות במועדונים,"מעבדת הצחוק של היודלה בר, קומדי בר"
"נאור, אייל",הופעות/כתיבה בטלוויזיה,ערב הסטנדאפ המיותר
"נבון, דב",סטנדאפ לאחר כוכבות,
"נבון, רונה",במות פתוחות,
"נהרי, אלון",פתיחת קופות,סטנדאפ פקטורי
"נוי, ירון",פתיחת קופות,ערב הסטנדאפ האינטימי
"נוימן, אלון",פתיחת קופות,
"נוימן, עידו",במות פתוחות,ערב הסטנדאפ האינטימי
"נויפלד, אלון",במות פתוחות,
"נוסבאום, אבי",פתיחת קופות,
"ניידיץ, עידן",פתיחת קופות,סטנדאפ פקטורי
"נעמה, מוחמד",פתיחת קופות,קומדי בר
"נצר, כרמל",הופעות/כתיבה בטלוויזיה,סטנדאפ ואלרגיות
"סאלם, שמרית",במות פתוחות,
"סאסמן, נינה",במות פתוחות,
"סבח, מישל",במות פתוחות,
"סביון, חנן",סטנדאפ לאחר כוכבות,
"סגרסקי, אופיר",פתיחת קופות,
"סהר, אלדד",במות פתוחות,
"סוויסה, נופר",פתיחת קופות,
"סולומון, טל",פתיחת קופות,קאמל קומדי קלאב
"סופר, יוסף",במות פתוחות,
"סייג, איימי",במות פתוחות,
"סייג, מאי",במות פתוחות,
"סימן טוב, קובי",במות פתוחות,
"סיקלאי, ליאורה",פתיחת קופות,
"סלינג'ר אדלר, קרן",במות פתוחות,
"סמו, יובל",כוכבות,
"ססובר, גיל",כוכבות,
"סעדה, רודי",פתיחת קופות,
"ספונדר, יוחאי",פתיחת קופות,"פאני מאנדיי, קאמל קומדי קלאב"
"ספן, שמוליק",פתיחת קופות,
"ספרא, יחיאל",פתיחת קופות,
"סקוץ', חני",אנגלית,דנסינג קאמל
"סרוסי, אושרית",הופעות/כתיבה בטלוויזיה,
"סתיו, הדר",במות פתוחות,
"עוזרי, מני",פתיחת קופות,סטנדאפ פקטורי
"עיסא, נורמן",סטנדאפ לאחר כוכבות,
"עמבר, אביב",במות פתוחות,ערב הסטנדאפ של הלייף
"עמוס, איתי",במות פתוחות,"ערב הסטנדאפ האינטימי, ערב הסטנדאפ חסר הביטחון העצמי"
"עמיאל, גיא",במות פתוחות,
"עמיר, גיא",סטנדאפ לאחר כוכבות,
"עמירן, יונתן",הופעות/כתיבה בטלוויזיה,"ערב הסטנדאפ המיותר, ערב הסטנדאפ האינטימי"
"עמית, שרון",במות פתוחות,
