name,status,stage,sex,national,att1,gen,religion
"נויפלד, אלון",במות פתוחות,,ז,,,,
"נוסבאום, אבי",פתיחת קופות,,ז,,,,
"ניידיץ, עידן",פתיחת קופות,סטנדאפ פקטורי,ז,,,,
"נעמה, מוחמד",פתיחת קופות,קומדי בר,ז,ערבי,,,מוסלמי
"נצר, כרמל",הופעות/כתיבה בטלוויזיה,סטנדאפ ואלרגיות,נ,,,,
"סאלם, שמרית",במות פתוחות,,נ,,,,
"סאסמן, נינה",במות פתוחות,,נ,,,,
"סבח, מישל",במות פתוחות,,ז,,,,
"סביון, חנן",סטנדאפ לאחר כוכבות,,ז,,,,
"סגרסקי, אופיר",פתיחת קופות,,נ,,,,
"סהר, אלדד",במות פתוחות,,ז,,,,
"סוויסה, נופר",פתיחת קופות,,נ,,,,
"סולומון, טל",פתיחת קופות,קאמל קומדי קלאב,ז,,,,
"סופר, יוסף",במות פתוחות,,ז,,,,
"סייג, איימי",במות פתוחות,,נ,,,,
"סייג, מאי",במות פתוחות,,נ,,,,
"סימן טוב, קובי",במות פתוחות,,ז,,,,
"סיקלאי, ליאורה",פתיחת קופות,,נ,,,,
"סלינג'ר אדלר, קרן",במות פתוחות,,נ,,,,
"סמו, יובל",כוכבות,,ז,,,,
"ססובר, גיל",כוכבות,,ז,,,,
"סעדה, רודי",פתיחת קופות,,ז,,,,
"ספונדר, יוחאי",פתיחת קופות,"פאני מאנדיי, קאמל קומדי קלאב",ז,,,,
"ספן, שמוליק",פתיחת קופות,,ז,,,,
"ספרא, יחיאל",פתיחת קופות,,ז,,,,
"סקוץ', חני",אנגלית,דנסינג קאמל,נ,,,,
"סרוסי, אושרית",הופעות/כתיבה בטלוויזיה,,נ,,,,
"סתיו, הדר",במות פתוחות,,נ,,,,
"עוזרי, מני",פתיחת קופות,סטנדאפ פקטורי,ז,,,,
"עיסא, נורמן",סטנדאפ לאחר כוכבות,,ז,ערבי,,,מוסלמי
"עמבר, אביב",במות פתוחות,ערב הסטנדאפ של הלייף,ז,,,,
"עמוס, איתי",במות פתוחות,"ערב הסטנדאפ האינטימי, ערב הסטנדאפ חסר הביטחון העצמי",ז,,,,
"עמיאל, גיא",במות פתוחות,,ז,,,,
"עמיר, גיא",סטנדאפ לאחר כוכבות,,ז,,,,
"עמירן, יונתן",הופעות/כתיבה בטלוויזיה,"ערב הסטנדאפ המיותר, ערב הסטנדאפ האינטימי",ז,,,,
"עמית, שרון",במות פתוחות,,נ,,,,
"עמר, נדב",קביעות במועדונים,"מעבדת הצחוק של היודלה בר, קומדי בר",ז,,,,
"ענפי, יוני",במות פתוחות,דנסינג קאמל,ז,,,,
"פאולינה, זהר",פתיחת קופות,,נ,,,,
"פאוקר, ליאור",הופעות/כתיבה בטלוויזיה,צמד שיניים,ז,,,,
"פדאל, איתמר",קביעות במועדונים,קומדי בר,ז,,,,
"פז, מאיה",במות פתוחות,ערב הסטנדאפ המיותר,נ,,,,
"פז, קארין",פתיחת קופות,קומדי בר,נ,,,,
